...1,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
431,S66184821,Mallard,Anas platyrhynchos,2020-03-24,18:09:00,2,58,US-OK,36.1431952,-95.9334761,3154,3,2020
432,S84766529,Mallard,Anas platyrhynchos,2021-04-04,11:17:00,1,32,US-OK,36.1433479,-95.9096313,37,4,2021
433,S68152310,Mallard,Anas platyrhynchos,2020-04-30,19:12:00,2,13,US-OK,36.1514978,-95.9796871,33,4,2020
434,S68100906,Mallard,Anas platyrhynchos,2020-04-30,09:33:00,1,39,US-OK,36.1501278,-95.8943009,59,4,2020
435,S68187140,Mallard,Anas platyrhynchos,2020-05-01,10:02:00,2,47,US-OK,36.1501278,-95.8943009,33,5,2020
436,S88201182,Mallard,Anas platyrhynchos,2021-05-15,13:20:00,5,72,US-OK,36.2222811,-95.9239566,33,5,2021
437,S64885073,Mallard,Anas platyrhynchos,2020-02-20,15:59:00,50,93,US-OK,36.116064,-95.98525,200,2,2020
438,S99973704,Mallard,Anas platyrhynchos,2022-01-02,16:08:00,20,25,US-OK,36.215678,-95.933325,582,1,2022
439,S51186467,Mallard,Anas platyrhynchos,2019-01-01,15:57:00,2,75,US-OK,36.1189623,-95.9855793,79,1,2019
440,S65697899,Mallard,Anas platyrhynchos,2020-03-11,18:58:00,1,47,US-OK,36.1166302,-95.9907184,281,3,2020
441,S66376442,Mallard,Anas platyrhynchos,2020-03-29,13:51:00,2,30,US-OK,36.1431728,-96.2771857,59,3,2020
442,S64885077,Mallard,Anas platyrhynchos,2020-02-22,14:52:00,100,56,US-OK,35.813121,-95.405804,658,2,2020
443,S64885104,Mallard,Anas platyrhynchos,2020-02-22,09:33:00,3,45,US-OK,35.872406,-95.401213,153,2,2020
444,S82037948,Mallard,Anas platyrhynchos,2021-02-20,17:15:00,250,4,US-OK,35.9664503,-95.4937384,696,2,2021
453,S64885077,Northern Pintail,Anas acuta,2020-02-22,14:52:00,200,56,US-OK,35.813121,-95.405804,658,2,2020
454,S82037948,Northern Pintail,Anas acuta,2021-02-20,17:15:00,12,4,US-OK,35.9664503,-95.4937384,696,2,2021
455,S111728537,Green-winged Teal,Anas crecca,2022-05-30,08:08:00,1,302,US-OK,36.850766,-102.8821564,100,5,2022
460,S100948655,Green-winged Teal,Anas crecca,2022-01-17,11:31:00,1,223,US-OK,35.6222331,-95.1711273,69,1,2022
463,S64885073,Green-winged Teal,Anas crecca,2020-02-20,15:59:00,4,93,US-OK,36.116064,-95.98525,200,2,2020
464,S99973704,Green-winged Teal,Anas crecca,2022-01-02,16:08:00,10,25,US-OK,36.215678,-95.933325,582,1,2022
465,S64885077,Green-winged Teal,Anas crecca,2020-02-22,14:52:00,200,56,US-OK,35.813121,-95.405804,658,2,2020
466,S64885104,Green-winged Teal,Anas crecca,2020-02-22,09:33:00,3,45,US-OK,35.872406,-95.401213,153,2,2020
475,S79023070,Ring-necked Duck,Aythya collaris,2021-01-04,13:24:00,2,273,US-OK,36.8630914,-96.5667034,69,1,2021
476,S80524373,Ring-necked Duck,Aythya collaris,2021-02-06,10:33:00,3,93,US-OK,36.2081998,-96.0600758,58,2,2021
481,S65697899,Ring-necked Duck,Aythya collaris,2020-03-11,18:58:00,2,47,US-OK,36.1166302,-95.9907184,281,3,2020
490,S99973704,Lesser Scaup,Aythya affinis,2022-01-02,16:08:00,15,25,US-OK,36.215678,-95.933325,582,1,2022
491,S65697899,Lesser Scaup,Aythya affinis,2020-03-11,18:58:00,60,47,US-OK,36.1166302,-95.9907184,281,3,2020
492,S64885104,Lesser Scaup,Aythya affinis,2020-02-22,09:33:00,12,45,US-OK,35.872406,-95.401213,153,2,2020
496,S100948655,Bufflehead,Bucephala albeola,2022-01-17,11:31:00,8,223,US-OK,35.6222331,-95.1711273,69,1,2022
502,S99973704,Bufflehead,Bucephala albeola,2022-01-02,16:08:00,8,25,US-OK,36.215678,-95.933325,582,1,2022
503,S64885104,Bufflehead,Bucephala albeola,2020-02-22,09:33:00,1,45,US-OK,35.872406,-95.401213,153,2,2020
504,S64885085,Bufflehead,Bucephala albeola,2020-02-22,11:32:00,2,113,US-OK,35.9322711,-95.2811987,331,2,2020
511,S64885073,Common Goldeneye,Bucephala clangula,2020-02-20,15:59:00,2,93,US-OK,36.116064,-95.98525,200,2,2020
512,S99973704,Common Goldeneye,Bucephala clangula,2022-01-02,16:08:00,1,25,US-OK,36.215678,-95.933325,582,1,2022
513,S65697899,Common Goldeneye,Bucephala clangula,2020-03-11,18:58:00,4,47,US-OK,36.1166302,-95.9907184,281,3,2020
529,S64885073,Common Merganser,Mergus merganser,2020-02-20,15:59:00,2,93,US-OK,36.116064,-95.98525,200,2,2020
532,S99973704,Red-breasted Merganser,Mergus serrator,2022-01-02,16:08:00,3,25,US-OK,36.215678,-95.933325,582,1,2022
533,S64885085,Red-breasted Merganser,Mergus serrator,2020-02-22,11:32:00,2,113,US-OK,35.9322711,-95.2811987,331,2,2020
539,S65697899,Ruddy Duck,Oxyura jamaicensis,2020-03-11,18:58:00,1,47,US-OK,36.1166302,-95.9907184,281,3,2020
540,S64885104,Ruddy Duck,Oxyura jamaicensis,2020-02-22,09:33:00,12,45,US-OK,35.872406,-95.401213,153,2,2020
543,S89280846,Northern Bobwhite,Colinus virginianus,2021-05-30,11:39:00,2,16,US-OK,35.6010995,-99.2265675,12,5,2021
556,S85318603,Wild Turkey,Meleagris gallopavo,2021-04-11,09:50:00,1,74,US-OK,35.9559819,-96.3171265,42,4,2021
559,S55479893,Wild Turkey,Meleagris gallopavo,2019-04-27,12:53:00,0,78,US-OK,36.2179826,-95.7992634,35,4,2019
561,S54964350,Wild Turkey,Meleagris gallopavo,2019-04-14,17:06:00,0,99,US-OK,36.2235555,-95.9005058,62,4,2019
568,S55212997,Greater Prairie-Chicken,Tympanuchus cupido,2019-04-21,07:46:00,4,52,US-OK,36.9177299,-96.6173317,88,4,2019
575,S87540807,Pied-billed Grebe,Podilymbus podiceps,2021-05-08,08:50:00,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
580,S100948655,Pied-billed Grebe,Podilymbus podiceps,2022-01-17,11:31:00,2,223,US-OK,35.6222331,-95.1711273,69,1,2022
581,S85336951,Pied-billed Grebe,Podilymbus podiceps,2021-04-11,12:28:00,2,100,US-OK,35.9549428,-96.7256498,69,4,2021
608,S88201182,Pied-billed Grebe,Podilymbus podiceps,2021-05-15,13:20:00,2,72,US-OK,36.2222811,-95.9239566,33,5,2021
609,S74645100,Pied-billed Grebe,Podilymbus podiceps,2020-10-10,11:36:00,14,7,US-OK,36.215678,-95.933325,219,10,2020
610,S99973704,Pied-billed Grebe,Podilymbus podiceps,2022-01-02,16:08:00,1,25,US-OK,36.215678,-95.933325,582,1,2022
611,S64885104,Pied-billed Grebe,Podilymbus podiceps,2020-02-22,09:33:00,1,45,US-OK,35.872406,-95.401213,153,2,2020
612,S74373636,Pied-billed Grebe,Podilymbus podiceps,2020-10-03,12:08:00,1,216,US-OK,35.894126,-95.7987213,42,10,2020
613,S64885094,Pied-billed Grebe,Podilymbus podiceps,2020-02-22,11:10:00,1,8,US-OK,35.9384235,-95.2776295,707,2,2020
614,S64885085,Pied-billed Grebe,Podilymbus podiceps,2020-02-22,11:32:00,1,113,US-OK,35.9322711,-95.2811987,331,2,2020
617,S64885098,Horned Grebe,Podiceps auritus,2020-02-22,10:39:00,1,24,US-OK,35.9322711,-95.2811987,89,2,2020
618,S64885085,Horned Grebe,Podiceps auritus,2020-02-22,11:32:00,150,113,US-OK,35.9322711,-95.2811987,331,2,2020
627,S77745729,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2020-12-20,11:59:00,12,72,US-OK,36.2081998,-96.0600758,57,12,2020
647,S67472609,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2020-04-04,18:22:00,2,42,US-OK,36.1436101,-95.9338497,387,4,2020
648,S67357157,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2020-04-17,11:15:00,2,19,US-OK,36.1444029,-95.9092834,63,4,2020
649,S79022904,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2021-01-10,11:02:00,55,93,US-OK,36.1499519,-96.2529969,107,1,2021
650,S106694384,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2022-04-10,09:00:00,2,44,US-OK,36.1499519,-96.2529969,79,4,2022
651,S76720355,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2020-11-26,12:40:00,5,61,US-OK,36.1043853,-95.9839742,112,11,2020
652,S64885077,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2020-02-22,14:52:00,9,56,US-OK,35.813121,-95.405804,658,2,2020
658,S111728537,Eurasian Collared-Dove,Streptopelia decaocto,2022-05-30,08:08:00,2,302,US-OK,36.850766,-102.8821564,100,5,2022
663,S65338838,Eurasian Collared-Dove,Streptopelia decaocto,2020-03-01,16:23:00,2,38,US-OK,36.152075,-95.9778614,49,3,2020
664,S65566629,Eurasian Collared-Dove,Streptopelia decaocto,2020-03-08,10:28:00,2,24,US-OK,36.152075,-95.9778614,35,3,2020
665,S67472609,Eurasian Collared-Dove,Streptopelia decaocto,2020-04-04,18:22:00,2,42,US-OK,36.1436101,-95.9338497,387,4,2020
666,S68524485,Eurasian Collared-Dove,Streptopelia decaocto,2020-05-06,19:38:00,1,54,US-OK,36.1431952,-95.9334761,27,5,2020
667,S64885098,Eurasian Collared-Dove,Streptopelia decaocto,2020-02-22,10:39:00,1,24,US-OK,35.9322711,-95.2811987,89,2,2020
674,S65338838,White-winged Dove,Zenaida asiatica,2020-03-01,16:23:00,1,38,US-OK,36.152075,-95.9778614,49,3,2020
675,S81668053,White-winged Dove,Zenaida asiatica,2021-02-15,15:30:00,3,15,US-OK,36.1441138,-95.9327686,79,2,2021
676,S66184821,White-winged Dove,Zenaida asiatica,2020-03-24,18:09:00,1,58,US-OK,36.1431952,-95.9334761,3154,3,2020
677,S66295846,White-winged Dove,Zenaida asiatica,2020-03-27,18:53:00,1,8,US-OK,36.1431952,-95.9334761,887,3,2020
684,S67802026,Mourning Dove,Zenaida macroura,2020-04-25,11:48:00,1,140,US-OK,36.783717,-98.18573,64,4,2020
688,S111728537,Mourning Dove,Zenaida macroura,2022-05-30,08:08:00,4,302,US-OK,36.850766,-102.8821564,100,5,2022
689,S89272478,Mourning Dove,Zenaida macroura,2021-05-30,09:38:00,1,43,US-OK,35.6367053,-99.2834151,316,5,2021
701,S55212997,Mourning Dove,Zenaida macroura,2019-04-21,07:46:00,6,52,US-OK,36.9177299,-96.6173317,88,4,2019
702,S56506454,Mourning Dove,Zenaida macroura,2019-05-19,15:59:00,1,66,US-OK,36.2081998,-96.0600758,47,5,2019
703,S69480437,Mourning Dove,Zenaida macroura,2020-05-14,09:21:00,1,219,US-OK,36.2081998,-96.0600758,97,5,2020
704,S90831933,Mourning Dove,Zenaida macroura,2021-06-26,14:26:00,2,71,US-OK,36.2081998,-96.0600758,48,6,2021
707,S54425143,Mourning Dove,Zenaida macroura,2019-03-31,13:38:00,2,120,US-OK,36.2179826,-95.7992634,71,3,2019
823,S65338838,Mourning Dove,Zenaida macroura,2020-03-01,16:23:00,3,38,US-OK,36.152075,-95.9778614,49,3,2020
824,S65566629,Mourning Dove,Zenaida macroura,2020-03-08,10:28:00,1,24,US-OK,36.152075,-95.9778614,35,3,2020
825,S67289842,Mourning Dove,Zenaida macroura,2020-04-15,18:54:00,4,48,US-OK,36.1441138,-95.9327686,43,4,2020
826,S81668053,Mourning Dove,Zenaida macroura,2021-02-15,15:30:00,8,15,US-OK,36.1441138,-95.9327686,79,2,2021
827,S67472609,Mourning Dove,Zenaida macroura,2020-04-04,18:22:00,7,42,US-OK,36.1436101,-95.9338497,387,4,2020
828,S66184821,Mourning Dove,Zenaida macroura,2020-03-24,18:09:00,3,58,US-OK,36.1431952,-95.9334761,3154,3,2020
829,S66295846,Mourning Dove,Zenaida macroura,2020-03-27,18:53:00,2,8,US-OK,36.1431952,-95.9334761,887,3,2020
830,S66797781,Mourning Dove,Zenaida macroura,2020-04-07,18:37:00,4,32,US-OK,36.1431952,-95.9334761,30,4,2020
831,S68032156,Mourning Dove,Zenaida macroura,2020-04-29,10:01:00,1,38,US-OK,36.1433479,-95.9096313,43,4,2020
832,S67357157,Mourning Dove,Zenaida macroura,2020-04-17,11:15:00,3,19,US-OK,36.1444029,-95.9092834,63,4,2020
833,S68032703,Mourning Dove,Zenaida macroura,2020-04-29,10:01:00,1,40,US-OK,36.1444029,-95.9092834,44,4,2020
834,S68152310,Mourning Dove,Zenaida macroura,2020-04-30,19:12:00,2,13,US-OK,36.1514978,-95.9796871,33,4,2020
835,S68100906,Mourning Dove,Zenaida macroura,2020-04-30,09:33:00,1,39,US-OK,36.1501278,-95.8943009,59,4,2020
836,S68187140,Mourning Dove,Zenaida macroura,2020-05-01,10:02:00,1,47,US-OK,36.1501278,-95.8943009,33,5,2020
837,S80867279,Mourning Dove,Zenaida macroura,2021-02-12,07:00:00,1,17,US-OK,36.1441933,-95.933674,11,2,2021
838,S80948582,Mourning Dove,Zenaida macroura,2021-02-12,11:00:00,2,80,US-OK,36.1441933,-95.933674,205,2,2021
839,S81561574,Mourning Dove,Zenaida macroura,2021-02-15,07:30:00,2,60,US-OK,36.1441933,-95.933674,38,2,2021
840,S64885073,Mourning Dove,Zenaida macroura,2020-02-20,15:59:00,2,93,US-OK,36.116064,-95.98525,200,2,2020
841,S68330982,Mourning Dove,Zenaida macroura,2020-05-03,10:37:00,5,154,US-OK,36.2213571,-95.9341192,140,5,2020
842,S51186467,Mourning Dove,Zenaida macroura,2019-01-01,15:57:00,3,75,US-OK,36.1189623,-95.9855793,79,1,2019
843,S101303345,Mourning Dove,Zenaida macroura,2022-01-23,13:31:00,1,91,US-OK,36.1043853,-95.9839742,113,1,2022
844,S56470322,Mourning Dove,Zenaida macroura,2019-05-18,19:16:00,1,59,US-OK,36.1301108,-95.9731293,47,5,2019
845,S64885077,Mourning Dove,Zenaida macroura,2020-02-22,14:52:00,60,56,US-OK,35.813121,-95.405804,658,2,2020
846,S64885104,Mourning Dove,Zenaida macroura,2020-02-22,09:33:00,2,45,US-OK,35.872406,-95.401213,153,2,2020
851,S89272478,Yellow-billed Cuckoo,Coccyzus americanus,2021-05-30,09:38:00,1,43,US-OK,35.6367053,-99.2834151,316,5,2021
854,S90831933,Yellow-billed Cuckoo,Coccyzus americanus,2021-06-26,14:26:00,1,71,US-OK,36.2081998,-96.0600758,48,6,2021
860,S88192658,Yellow-billed Cuckoo,Coccyzus americanus,2021-05-15,12:31:00,1,46,US-OK,36.2222811,-95.9239566,37,5,2021
925,S66844842,Chimney Swift,Chaetura pelagica,2020-04-08,19:37:00,4,34,US-OK,36.1431952,-95.9334761,176,4,2020
926,S68524485,Chimney Swift,Chaetura pelagica,2020-05-06,19:38:00,2,54,US-OK,36.1431952,-95.9334761,27,5,2020
927,S107970844,Chimney Swift,Chaetura pelagica,2022-04-24,17:14:00,6,77,US-OK,36.1255459,-95.9823976,105,4,2022
928,S68152310,Chimney Swift,Chaetura pelagica,2020-04-30,19:12:00,4,13,US-OK,36.1514978,-95.9796871,33,4,2020
929,S56470322,Chimney Swift,Chaetura pelagica,2019-05-18,19:16:00,7,59,US-OK,36.1301108,-95.9731293,47,5,2019
937,S56762852,Ruby-throated Hummingbird,Archilochus colubris,2019-05-25,11:55:00,1,116,US-OK,36.182195,-96.2300591,29,5,2019
938,S56506454,Ruby-throated Hummingbird,Archilochus colubris,2019-05-19,15:59:00,1,66,US-OK,36.2081998,-96.0600758,47,5,2019
939,S69480437,Ruby-throated Hummingbird,Archilochus colubris,2020-05-14,09:21:00,1,219,US-OK,36.2081998,-96.0600758,97,5,2020
940,S90831933,Ruby-throated Hummingbird,Archilochus colubris,2021-06-26,14:26:00,1,71,US-OK,36.2081998,-96.0600758,48,6,2021
963,S88192658,Ruby-throated Hummingbird,Archilochus colubris,2021-05-15,12:31:00,2,46,US-OK,36.2222811,-95.9239566,37,5,2021
964,S68330982,Ruby-throated Hummingbird,Archilochus colubris,2020-05-03,10:37:00,1,154,US-OK,36.2213571,-95.9341192,140,5,2020
965,S111728537,Black-chinned Hummingbird,Archilochus alexandri,2022-05-30,08:08:00,1,302,US-OK,36.850766,-102.8821564,100,5,2022
979,S67802026,American Coot,Fulica americana,2020-04-25,11:48:00,7,140,US-OK,36.783717,-98.18573,64,4,2020
982,S67045327,American Coot,Fulica americana,2020-04-11,15:17:00,2,6,US-OK,36.8402755,-96.4558801,36,4,2020
983,S85336951,American Coot,Fulica americana,2021-04-11,12:28:00,3,100,US-OK,35.9549428,-96.7256498,69,4,2021
989,S74645100,American Coot,Fulica americana,2020-10-10,11:36:00,40,7,US-OK,36.215678,-95.933325,219,10,2020
990,S66376442,American Coot,Fulica americana,2020-03-29,13:51:00,5,30,US-OK,36.1431728,-96.2771857,59,3,2020
1006,S67802002,American Avocet,Recurvirostra americana,2020-04-25,14:13:00,4,97,US-OK,36.7968283,-98.1921574,75,4,2020
1007,S85336951,American Avocet,Recurvirostra americana,2021-04-11,12:28:00,4,100,US-OK,35.9549428,-96.7256498,69,4,2021
1014,S67047859,American Golden-Plover,Pluvialis dominica,2020-04-11,16:06:00,4,2,US-OK,36.8630914,-96.5667034,6,4,2020
1015,S67805720,Killdeer,Charadrius vociferus,2020-04-25,16:39:00,1,13,US-OK,36.7523718,-98.3074256,42,4,2020
1019,S111728537,Killdeer,Charadrius vociferus,2022-05-30,08:08:00,1,302,US-OK,36.850766,-102.8821564,100,5,2022
1021,S89277212,Killdeer,Charadrius vociferus,2021-05-30,10:49:00,1,26,US-OK,35.6247298,-99.2497676,28,5,2021
1025,S67045327,Killdeer,Charadrius vociferus,2020-04-11,15:17:00,1,6,US-OK,36.8402755,-96.4558801,36,4,2020
1026,S104891440,Killdeer,Charadrius vociferus,2022-03-15,13:45:00,6,84,US-OK,36.8474481,-96.3839309,71,3,2022
1027,S54002257,Killdeer,Charadrius vociferus,2019-03-17,15:30:00,1,90,US-OK,36.2081998,-96.0600758,12,3,2019
1028,S54632771,Killdeer,Charadrius vociferus,2019-04-06,11:20:00,1,122,US-OK,36.2081998,-96.0600758,40,4,2019
1029,S56506454,Killdeer,Charadrius vociferus,2019-05-19,15:59:00,2,66,US-OK,36.2081998,-96.0600758,47,5,2019
1030,S69480437,Killdeer,Charadrius vociferus,2020-05-14,09:21:00,1,219,US-OK,36.2081998,-96.0600758,97,5,2020
1031,S80524373,Killdeer,Charadrius vociferus,2021-02-06,10:33:00,1,93,US-OK,36.2081998,-96.0600758,58,2,2021
1032,S90831933,Killdeer,Charadrius vociferus,2021-06-26,14:26:00,1,71,US-OK,36.2081998,-96.0600758,48,6,2021
1033,S103266888,Killdeer,Charadrius vociferus,2022-02-20,14:05:00,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
1034,S108591574,Killdeer,Charadrius vociferus,2022-05-01,09:45:00,2,13,US-OK,36.6805949,-96.5585333,39,5,2022
1035,S85336951,Killdeer,Charadrius vociferus,2021-04-11,12:28:00,1,100,US-OK,35.9549428,-96.7256498,69,4,2021
1049,S65338838,Killdeer,Charadrius vociferus,2020-03-01,16:23:00,1,38,US-OK,36.152075,-95.9778614,49,3,2020
